0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
-51.49368990098969,-54.47837311924919,-50.09542956077173,-55.4785615196628,-55.67519277069484,-55.66918864889845,-55.31402975026465,-46.20469389326696,-54.16125460056603,-48.93283163633614,-55.98227904250045,-52.18482960888379,-53.24274150725336,-56.92220470582842,-48.64059982135123,-57.85337352684793,-54.755547983276024,-52.46032836105843,-54.89522630618215,-48.522869826850304,-52.6841014630331,-61.51522551859112,-54.518338571776894,-50.1213832999464,-48.895678577721,-49.948575486558376,-53.905056731574106,-46.62509942270012
-48.05339527303339,-54.38747563754148,-46.69329118399226,-54.92965440107695,-53.929308184328896,-54.313187846841245,-57.27205445163681,-45.54226926873435,-51.48532710832984,-48.67389867467298,-54.48133149849903,-53.91453428266767,-53.34676451991442,-59.37926145645729,-47.1069289116484,-58.12338794608244,-55.504841329244016,-56.228670889271584,-54.8181582105495,-48.925079081122085,-51.665669877598994,-56.434331296899735,-55.72380538010047,-50.636517443961054,-48.38131747205634,-50.875241091745764,-54.04493603781092,-45.001957968822396
-49.06281498958015,-54.25004085915597,-48.240482100162914,-56.361898372073675,-55.37353540901386,-53.8648924392189,-56.88777574746071,-46.00540095060645,-50.99981080741539,-51.30763594575458,-55.67762985046006,-53.68944194209184,-54.64452692457888,-47.44622231779757,-49.17853711348853,-57.79286154882061,-56.12890842504155,-53.841457222676695,-53.93250115663902,-48.004533729947134,-49.89505067966136,-49.109113870381755,-55.2456816159692,-51.165693158184695,-48.593413530925645,-49.93988522253723,-52.761569284178286,-46.15472327299554
-50.349733770302095,-55.188505014785655,-46.73944489896677,-55.895843908592184,-55.05732691248116,-55.33292156704528,-55.415851318356175,-46.191752513656695,-50.46810106519412,-49.45350776198297,-54.728883143418635,-54.71456651966162,-54.54591160564572,-47.177039367031306,-47.71825066631415,-58.515484144797995,-51.981583297564725,-53.33248498413748,-54.253903514420365,-47.78530673654949,-50.94388929391223,-62.027695653986044,-56.18285351370418,-49.36090979472327,-47.14591310924421,-50.97586735654507,-53.99978538619263,-44.493845195568234
-50.612215290792335,-52.91313219888927,-48.621234901563945,-55.00262665296844,-53.764646127100875,-56.42719395200554,-57.97818134250956,-47.685557826498034,-51.69777932877798,-49.02382615707147,-55.90650176021453,-54.55974126999756,-54.78240307542308,-49.618439289206094,-48.210648348120806,-57.65003168098134,-54.643413216318685,-53.350966876033404,-51.94251393311805,-49.05350264878394,-53.433989090590174,-50.371576423867715,-54.045320011508664,-51.16730252768744,-46.31194193557406,-48.06940563746345,-52.68596535887883,-46.67391850884214
-51.645690224985856,-55.15255454419847,-47.57458226244937,-54.1997181486551,-53.86884421552714,-55.25882596711865,-57.0393694116705,-46.06443129940877,-51.24834767659898,-49.30921270805824,-56.1988824225055,-53.15013011777262,-54.443676678612235,-64.60594186717539,-48.811583132247215,-56.76609738267885,-53.13890774228233,-52.68434560501197,-56.15117344045098,-48.62940288727779,-52.41520029239673,-46.253791296893596,-55.536360272715044,-50.29577368308445,-48.61192655431131,-51.355666419396115,-56.59116565767549,-46.9062639992661
-48.193315539206004,-54.263426132616736,-48.79857387174881,-55.89788653910769,-55.224137798477514,-56.15386895736997,-57.201958575225504,-44.84720962304336,-52.116742724977954,-50.54894554658796,-55.94328654330363,-54.8832798522461,-53.904731751243375,-45.65794134609204,-48.337232616231276,-56.73692923702656,-54.48564320705141,-54.393810923970555,-53.72413102139235,-47.56219498632329,-50.66322186606014,-55.1653779281608,-55.428392521100776,-49.01234915361562,-48.583759837203026,-49.9104475908434,-53.51902674014175,-45.27258330207434
-49.96477853166897,-54.18143432573688,-47.99621459405037,-56.55810063610622,-54.63866323566632,-55.97819782600331,-56.85758356178981,-47.29482133228372,-51.99014483166761,-50.63616033372771,-56.669125425912846,-53.42791540547999,-54.59122460197351,-58.330154895864325,-48.66314636035595,-56.414390003189986,-54.78333135107837,-55.16643025578043,-54.219820530711985,-47.794559221808484,-50.64663227302181,-61.58363558385429,-54.692126492360075,-49.243123745215215,-46.26708001460321,-49.43474456717881,-55.33759596857165,-45.589793832729576
-51.35167582383254,-52.95460310477638,-49.40333220581835,-54.315298301630236,-53.71080243785404,-54.56053185633409,-57.577390221480044,-45.640319843331405,-51.21115864004821,-48.54313814717982,-54.77352009428905,-52.815554918339686,-53.50159396717154,-51.965083042839325,-47.29160421634823,-56.87716643139027,-54.65622334920562,-54.63900079579869,-53.90574997216205,-48.82398721749039,-52.119808198085614,-50.3903771083183,-54.89581845010637,-52.16205369060784,-49.16171442507036,-49.048372341041926,-54.23070668561707,-46.26020913571604
-50.72960790633794,-52.94273474608051,-48.08287165747321,-55.18837253508201,-55.11284222028123,-55.78453553817345,-56.63046808403657,-45.557694933106475,-52.906358782314676,-49.765686931765465,-55.04172421505815,-53.23891002014619,-55.41733604756109,-54.37760732642305,-48.30448505850595,-56.734324724652666,-54.84717898203837,-54.36086034217706,-52.21852089432918,-47.37272562063483,-51.63067776252299,-60.52525572418198,-56.22849251871885,-50.3983928571975,-47.81259378786939,-51.73770420290795,-54.38885592423229,-46.855487132421125
-50.14672642381482,-55.52475591546042,-48.44450474937171,-55.733686648782864,-53.750251733258295,-55.59432708429479,-57.70449496977143,-46.48370338320038,-52.83731994666105,-49.83923515965418,-54.98756754153188,-55.463820944654955,-54.85681502276011,-49.24592592826499,-48.643767513355264,-56.029616102505244,-56.76165684908163,-53.984262262045696,-54.104565261946675,-46.142884631655086,-50.16419805283865,-62.42820986961411,-55.051157767985885,-51.897733274886725,-49.46361772766819,-50.4353337054212,-53.91864308029996,-46.1567744165789
-48.737476105300246,-51.9143387440666,-48.906107319824834,-55.43514876062212,-54.04667076402412,-55.71241324608826,-56.43541600974668,-45.59022283345024,-52.73684823409699,-50.76317328414673,-54.482821655076485,-54.582867356971164,-56.839960974053675,-54.51987201764683,-45.91051181542113,-57.115101068901296,-55.04049934790488,-55.465539486246065,-54.71373761275778,-49.41029156326649,-54.01418903706663,-60.7486067375163,-55.08928724967993,-49.624565381799435,-48.65654296986455,-48.63624208682961,-53.441963354493886,-47.08302804783854
-50.09789755861052,-53.90790545084006,-47.44729145795695,-54.66637088571608,-51.98127704914784,-53.64365358152532,-57.42439988694012,-47.29530911228344,-52.00192809127073,-50.056163425734134,-55.20373973960184,-54.64416242620198,-54.43814828389315,-54.09300396849275,-48.733793989866435,-57.71412128367053,-56.0850684996028,-54.199342568602574,-54.99890499028618,-47.84043744417635,-50.22498773708441,-52.95410371062629,-55.506708938382204,-51.15050451856371,-48.78748905939553,-49.53191750955256,-54.97936189938472,-45.863036904065744
-48.874726040304914,-54.69882170349656,-47.805743452750626,-55.24952526608009,-53.45515794131626,-56.02508164958997,-57.620303571178084,-47.12678022272576,-52.00125197459742,-52.74310117771115,-55.81747801876489,-54.60836432319989,-54.386433842879754,-55.399772810634126,-48.43726647933947,-57.863510560274534,-55.225156644465315,-54.760314025732185,-53.79953241179773,-49.96882487609847,-51.771975331479986,-52.520123494522814,-53.909393834634066,-50.08210119424452,-49.49663734243631,-51.264930175278295,-53.27096608778164,-42.79383335169467
-49.02024857977443,-54.60315006449456,-49.03985405317254,-54.600489309047376,-53.8843658169118,-54.68721237395173,-55.490101904376445,-47.09954813445371,-53.8295805915165,-50.121230409414835,-55.96129376762193,-55.30519816666987,-54.507835786071546,-61.70378741105381,-48.90679070108906,-55.62104024084883,-54.92110981607372,-53.234583060107475,-53.50152921502327,-46.54613267490793,-50.68056579775701,-47.785215906370375,-56.815717038875256,-50.948198029309026,-47.32875257955465,-50.94558588010605,-54.89677630670266,-46.03374066007592
-48.856978486237956,-53.06091800457091,-49.21612783246683,-56.31841253291791,-53.101477116136266,-55.01899843924186,-57.58657593401425,-47.316160760799875,-51.69723836240099,-50.67496985754178,-57.137789031920036,-54.503087780983584,-57.71143795423599,-49.93471430352641,-49.4483629414445,-58.32953341389925,-55.005215700451814,-53.84229522908821,-53.68289019845765,-48.68432560781888,-52.74393967152792,-60.594115828393484,-55.1842650412014,-50.78025173290149,-48.429362390799305,-48.0052061715439,-54.464919353928494,-46.89658968409807
-48.71825249422468,-55.64932786464437,-49.44738005954263,-54.99130696644166,-53.14239974843547,-54.99208000165895,-58.20273496984012,-46.09167124636962,-50.89054473037954,-48.73239536313991,-54.94090684343494,-54.55374007950862,-53.64093652908769,-53.51514623829219,-49.1101977487995,-59.120384646367626,-55.365437226706455,-52.90421923782941,-53.92121582838474,-46.675732441498525,-50.86890974745628,-53.050397815375135,-55.63455451074972,-50.73280539064075,-47.392866428651296,-49.598679324953316,-54.70539390755743,-45.26855570471596
-49.85412421945442,-54.04413328002746,-48.94004803433403,-55.03488371069297,-54.180862378851856,-54.284905121555965,-59.17190103809965,-45.89179769545835,-50.95207792053185,-49.97729628095373,-55.2896638591665,-53.00557670094698,-56.49830974247177,-57.179509278417314,-48.64815217966982,-56.80685305118486,-55.52130559432778,-55.018954026571514,-55.32669618199805,-48.687656368115405,-52.91016886351039,-56.658665404836015,-54.52339947506898,-51.16168026359437,-46.48017232687796,-49.52474815757293,-55.37329298039284,-45.649491232418654
-49.62320466578859,-55.54152864944132,-47.772445795203,-56.5205096161929,-52.16731021786715,-55.738907104854825,-58.02421433572163,-47.48454328770214,-52.43773512150824,-50.44259370465357,-55.930768177663865,-52.62751378908371,-56.822100465028676,-59.68424818043222,-48.95529167064401,-56.15252984324003,-55.637837922238354,-54.95718069388597,-55.309597182527824,-46.18418062183483,-55.0844844342814,-52.538284603251626,-54.70248267231851,-51.078184531972056,-47.89215430943165,-51.0308541861021,-54.07345431042044,-45.99933742980331
-51.57366803847139,-52.34740465948671,-46.70015883956766,-53.863440318704164,-52.98558582969265,-54.35246472237604,-57.56582550188313,-45.07803444384099,-53.17200423388519,-51.20772597138817,-56.16435377470866,-52.85631058730009,-54.939059703747596,-59.42768089151808,-48.2653818152406,-57.38600490617746,-55.332441255672826,-52.49464544302011,-52.108688579518976,-48.67714182483796,-51.50187874747328,-63.00684086977926,-54.808713360303564,-50.28396883070359,-47.40217800327638,-50.06412059216078,-53.66051447041368,-44.692568305924745
-49.386483248546824,-55.60752250761819,-48.788318949548305,-53.361686876684416,-51.93639543015132,-54.97662061182016,-56.10320842068379,-46.43003379870089,-52.934814307600654,-50.66437307291277,-55.2038368156414,-55.95362575536568,-54.09174299724779,-54.12214947453639,-47.4198939402668,-56.489310363826654,-54.82200105388011,-54.49229732508472,-53.04039509036401,-47.29539418407556,-51.09311324438632,-47.42503585959591,-54.73312171555002,-49.33382145947922,-48.40770714945543,-48.98794146460511,-53.36031736900284,-45.564153648932646
